Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal;;;;;;;
Resumen por comunidades autónomas;;;;;;;
Población por comunidades y ciudades autónomas y sexo.;;;;;;;
Unidades: Personas;;;;;;;
,Total,;;;;;;;
,2018,;;;;;;;
Total,4.672298E7,;;;Total;;;Total;4.67E+07
01 Andalucía,8384408.0,;;;01 Andalucía;;;Andaluc’a;8384408
02 Aragón,1308728.0,;;;02 Aragón;;;Arag—n;1308728
03 Asturias, Principado de,1028244.0,;;;03 Asturias; Principado de;;Principado de Asturias;1028244
04 Balears, Illes,1128908.0,;;;04 Balears; Illes;;Islas Baleares;1128908
05 Canarias,2127685.0,;;;05 Canarias;;;Canarias;2127685
06 Cantabria,580229.0,;;;06 Cantabria;;;Cantabria;580229
07 Castilla y León,2409164.0,;;;07 Castilla y León;;;Castilla y Le—n;2409164
08 Castilla - La Mancha,2026807.0,;;;08 Castilla - La Mancha;;;Castilla - La Mancha;2026807
09 Cataluña,7600065.0,;;;09 Cataluña;;;Catalu–a;7600065
10 Comunitat Valenciana,4963703.0,;;;10 Comunitat Valenciana;;;Comunidad Valenciana;4963703
11 Extremadura,1072863.0,;;;11 Extremadura;;;Extremadura;1072863
12 Galicia,2701743.0,;;;12 Galicia;;;Gailicia;2701743
13 Madrid, Comunidad de,6578079.0,;;;13 Madrid; Comunidad de;;Madrid;6578079
14 Murcia, Región de,1478509.0,;;;14 Murcia; Región de;;Murcia;1478509
15 Navarra, Comunidad Foral de,647554.0,;;;15 Navarra; Comunidad Foral de;;Navarra;647554
16 País Vasco,2199088.0,;;;16 País Vasco;;;Pa’s Vasco;2199088
17 Rioja, La,315675.0,;;;17 Rioja; La;;La Rioja;315675
18 Ceuta,85144.0,;;;18 Ceuta;;;Ceuta;85144
19 Melilla,86384.0,;;;19 Melilla;;;Melilla;86384
Notas:;;;;;;;
No existen cifras a 1 de enero de 1997 porque no se realizó revisión del padrón para ese año;;;;;;;
Las cifras de 1996 están referidas a 1 de mayo y  las demás a 1 de enero.;;;;;;;
Fuente: Instituto Nacional de Estadística;;;;;;;